president_id,president_name,date_start,date_termination,person_id,political_party,partisanship,,Key:,
1,george-washington,1789-01-01,1797-01-01,1,f,,,0,liberal
2,john-adams,1797-01-01,1801-01-01,2,f,,,1,conservative
3,thomas-jefferson,1801-01-01,1809-01-01,3,j,,,2,other
4,james-madison,1809-01-01,1817-01-01,4,j,,,,
5,james-monroe,1817-01-01,1825-01-01,5,j,,,,
6,john-quincy-adams,1825-01-01,1829-01-01,6,j,,,,
7,andrew-jackson,1829-01-01,1837-01-01,7,d,,,,
8,martin-van-buren,1837-01-01,1841-01-01,8,d,,,,
9,william-henry-harrison,1841-01-01,1841-01-01,9,w,,,,
10,john-tyler,1841-01-01,1845-01-01,10,w,,,,
11,james-k-polk,1845-01-01,1849-01-01,11,d,,,,
12,zachary-taylor,1849-01-01,1850-01-01,12,w,,,,
13,millard-fillmore,1850-01-01,1853-01-01,13,w,,,,
14,franklin-pierce,1853-01-01,1857-01-01,14,d,,,,
15,james-buchanan,1857-01-01,1861-01-01,15,d,,,,
16,abraham-lincoln,1861-01-01,1865-01-01,16,r,,,,
17,andrew-johnson,1865-01-01,1869-01-01,17,u,,,,
18,ulysses-s-grant,1869-01-01,1877-01-01,18,r,1,,,
19,rutherford-b-hayes,1877-01-01,1881-01-01,19,r,1,,,
20,james-a-garfield,1881-01-01,1881-01-01,20,r,1,,,
21,chester-arthur,1881-01-01,1885-01-01,21,r,1,,,
22,grover-cleveland,1885-01-01,1889-01-01,22,d,0,,,
22,grover-cleveland,1893-01-01,1897-01-01,22,d,0,,,
23,benjamin-harrison,1889-01-01,1893-01-01,23,r,1,,,
24,william-mckinley,1897-01-01,1901-01-01,24,r,1,,,
25,theodore-roosevelt,1901-01-01,1909-01-01,25,r,1,,,
26,william-howard-taft,1909-01-01,1913-01-01,26,r,1,,,
27,woodrow-wilson,1913-01-01,1921-01-01,27,d,0,,,
28,warren-g-harding,1921-01-01,1923-01-01,28,r,1,,,
29,calvin-coolidge,1923-01-01,1929-01-01,29,r,1,,,
30,herbert-hoover,1929-01-01,1933-01-01,30,r,1,,,
31,franklin-d-roosevelt,1933-01-01,1945-01-01,31,d,0,,,
32,harry-s-truman,1945-01-01,1953-01-01,32,d,0,,,
33,dwight-eisenhower,1953-01-01,1961-01-01,33,r,1,,,
34,john-f-kennedy,1961-01-01,1963-01-01,34,d,0,,,
35,lyndon-b-johnson,1963-01-01,1969-01-01,35,d,0,,,
36,richard-nixon,1969-01-01,1974-01-01,36,r,1,,,
37,gerald-ford,1974-01-01,1977-01-01,37,r,1,,,
38,jimmy-carter,1977-01-01,1981-01-01,38,d,0,,,
39,ronald-reagan,1981-01-01,1989-01-01,39,r,1,,,
40,george-hw-bush,1989-01-01,1993-01-01,40,r,1,,,
41,william-jefferson-clinton,1993-01-01,2001-01-01,41,d,0,,,
42,george-w-bush,2001-01-01,2009-01-01,42,r,1,,,
43,barack-hussein-obama-ii,2009-01-01,2017-01-01,43,d,0,,,
8521,donald-john-trump,2017-01-20,2021-01-20,8521,r,1,,,
14437,joseph-robinette-biden-jr,2021-01-20,NaT,14437,d,0,,,